Project,mcm-kui:3.4.0
Directory Scanned,~/Desktop/mcm-kui/awsom-output/node_modules
Date,2019-11-08T21:06:40.722Z
CLI Version,2.2.34
WILD Version,1.0.174
,
Name,Version,Need Pedigree Review,Reason,Review Level,Declared License,License Status,Path,Comments
icons-react,10.6.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,@carbon/icons-react,,
colors,1.4.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,colors,,
console-browserify,1.2.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,console-browserify,,
decompress-response,4.2.1,FALSE,Exempt - Version closely related to 4.2.0,2,MIT,Approved,decompress-response,,
follow-redirects,1.9.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,follow-redirects,,
glob,7.1.6,FALSE,Exempt - Version closely related to 7.1.4,2,ISC,Needs Review | Needs Legal Approval,glob,,
graceful-fs,4.2.2,FALSE,Exempt - Version closely related to 4.2.0,2,ISC,Approved,graceful-fs,,
http-proxy,1.18.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,http-proxy,,
iltorb,2.4.4,FALSE,Exempt - Version closely related to 2.4.3,2,MIT,Needs Review,iltorb,,
iterall,1.2.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,iterall,,
loglevel,1.6.6,FALSE,Exempt - Version closely related to 1.6.1,2,MIT,Approved,loglevel,,
mimic-response,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,mimic-response,,
mylib,0.0.0,FALSE,Previously pedigree reviewed,2,ISC,Approved | Reference Only,mylib,,
prebuild-install,5.3.3,FALSE,Exempt - Expected license matched,2,MIT,Approved,prebuild-install,,
psl,1.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,psl,,
query-string,6.8.2,FALSE,Exempt - Expected license matched,2,MIT,Approved,query-string,,
source-map-support,0.5.16,FALSE,Exempt - Version closely related to 0.5.3,2,MIT,Approved,source-map-support,,
tar-stream,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,tar-stream,,
vm-browserify,1.1.2,FALSE,Exempt - Version closely related to 1.1.0,2,MIT,Approved,vm-browserify,,
