Project,mcm-kui:3.4.0
Directory Scanned,~/Desktop/mcm-kui/awsom-output/node_modules
Date,2019-10-25T15:58:14.185Z
CLI Version,2.2.34
WILD Version,1.0.174
,
Name,Version,Need Pedigree Review,Reason,Review Level,Declared License,License Status,Path,Comments
1to2,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,1to2,,
icon-helpers,10.4.0,FALSE,Exempt - Expected license matched,2,Apache-2.0,Approved,@carbon/icon-helpers,,
icons-react,10.6.0,FALSE,Exempt - Expected license matched,2,Apache-2.0,Approved,@carbon/icons-react,,
package-a,0.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved | Reference Only,@my-scope/package-a,,
package-b,0.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved | Reference Only,@my-scope/package-b,,
cookie,0.3.3,FALSE,Exempt - Version closely related to 0.3.2,2,MIT,Approved,@types/cookie,,
node,12.11.7,FALSE,Exempt - Expected license matched,2,MIT,Approved,@types/node,,
abbrev,1.1.1,FALSE,Exempt - Version closely related to 1.1.0,2,ISC,Needs Review,abbrev,,
accepts,1.3.7,FALSE,Exempt - Version closely related to 1.3.3,2,MIT,Approved,accepts,,
acorn,6.3.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,acorn,,
ajv,6.10.2,FALSE,Exempt - Version closely related to 6.10.0,2,MIT,Approved,ajv,,
ansi-colors,3.2.4,FALSE,Exempt - Version closely related to 3.2.3,2,MIT,Approved,ansi-colors,,
ansi-regex,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,ansi-regex,,
ansi-regex,3.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,ansi-regex,,
anymatch,1.3.2,FALSE,Exempt - Version closely related to 1.3.0,2,ISC,Approved,anymatch,,
argparse,1.0.10,FALSE,Exempt - Version closely related to 1.0.7,2,MIT,Approved,argparse,,
arr-diff,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,arr-diff,,
arr-diff,4.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,arr-diff,,
arr-union,3.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,arr-union,,
array-flatten,1.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,array-flatten,,
array-unique,0.2.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,array-unique,,
array-unique,0.3.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,array-unique,,
asn1,0.2.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,asn1,,
assert-plus,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,assert-plus,,
assign-symbols,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,assign-symbols,,
async,1.5.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,async,,
async-limiter,1.0.1,FALSE,Exempt - Version closely related to 1.0.0,2,MIT,Approved,async-limiter,,
asynckit,0.4.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,asynckit,,
